mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Jonas Kubilius,"['mathematician', 'politician']","['Soviet Union', 'Lithuania']",Lithuania,30-Oct-11,['Saint Petersburg State University'],['Vilnius University'],NULL,NULL,['Vilnius University'],['Yuri Linnik'],['Lithuanian'],['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,"['Member of the Seimas', 'member of the Supreme Soviet of the Soviet Union']","['probability theory', 'number theory']","['Order of Lenin', 'Hero of Socialist Labour', 'Order of the Red Banner of Labour']",['3±0'],['human'],['male'],FALSE,27,July,1921,FALSE,30,October,2011,
Celso Grebogi,"['physicist', 'theoretical physicist']",['Brazil'],Curitiba,NULL,NULL,"['University of Aberdeen', 'University of Maryland, College Park']",NULL,NULL,"['University of Aberdeen', 'University of Maryland, College Park']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1947,FALSE,NULL,NULL,NULL,
Heinrich Behnke,"['mathematician', 'university teacher']",['Germany'],Hamburg,10-Oct-79,['University of Göttingen'],['University of Münster'],['Münster'],['German Academy of Sciences Leopoldina'],['University of Münster'],['Erich Hecke'],['German'],NULL,NULL,NULL,NULL,NULL,"[""Commander's Cross of the Order of Merit of the Federal Republic of Germany""]",NULL,['human'],['male'],FALSE,9,October,1898,FALSE,10,October,1979,
Jim Hoffman,"['mathematician', 'computer scientist']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['geometry'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Howard Hawks Mitchell,['mathematician'],['United States of America'],NULL,1943,['Princeton University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,January,1885,FALSE,NULL,NULL,1943,
David Luenberger,"['computer scientist', 'engineer', 'economist', 'university teacher']",['United States of America'],Los Angeles,NULL,['Stanford University'],NULL,NULL,['National Academy of Engineering'],NULL,['William Linvill'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1937,FALSE,NULL,NULL,NULL,
Nail Bakirov,"['mathematician', 'statistician']",['Soviet Union'],Karaganda,23-Mar-10,NULL,NULL,['Ufa'],NULL,NULL,['Ilʹdar Abdullovič Ibragimov'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,"['probability theory', 'mathematical statistics']",NULL,NULL,['human'],['male'],FALSE,30,March,1952,FALSE,23,March,2010,
Gaston Albert Gohierre de Longchamps,['mathematician'],NULL,NULL,1906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1842,FALSE,NULL,NULL,1906,
Claude Lemaréchal,"['mathematician', 'computer scientist', 'engineer']",['France'],Paris,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,"['mathematical analysis', 'computer science']","['The George B. Dantzig Prize', '1994']",NULL,['human'],['male'],FALSE,NULL,NULL,1944,FALSE,NULL,NULL,NULL,
John Howard Van Amringe,"['mathematician', 'university teacher']",['United States of America'],Philadelphia,1915,['Columbia University'],['Columbia University'],['New York City'],NULL,['Columbia University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1836,FALSE,NULL,NULL,1915,
Erling Sverdrup,"['mathematician', 'statistician', 'professor']",['Norway'],Bergen,15-Mar-94,NULL,NULL,['Oslo'],"['Norwegian Academy of Science and Letters', 'Royal Norwegian Society of Sciences and Letters']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['cryptography'],NULL,NULL,['human'],['male'],FALSE,23,February,1917,FALSE,15,March,1994,
Andrew Majda,"['mathematician', 'university teacher']",['United States of America'],East Chicago,NULL,"['Stanford University', 'Purdue University']","['Princeton University', 'University of California, Los Angeles', 'New York University', 'University of California, Berkeley']",NULL,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']","['Princeton University', 'University of California, Los Angeles', 'New York University', 'University of California, Berkeley']",['Ralph S. Phillips'],['English'],NULL,NULL,NULL,NULL,NULL,"['Josiah Willard Gibbs Lectureship', '1995']",['3±0'],['human'],['male'],FALSE,30,January,1949,FALSE,NULL,NULL,NULL,
O. Timothy O'Meara,['mathematician'],['United States of America'],Union of South Africa,NULL,NULL,['University of Notre Dame'],NULL,['American Academy of Arts and Sciences'],['University of Notre Dame'],['Emil Artin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,29,January,1928,FALSE,NULL,NULL,NULL,
Ray Solomonoff,"['computer scientist', 'artificial intelligence researcher']",['United States of America'],Cleveland,7-Dec-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,July,1926,FALSE,7,December,2009,
Eduardo Torroja Caballe,['mathematician'],['Spain'],Tarragona,1-Jun-18,NULL,NULL,['Madrid'],['Real Academia Española'],NULL,NULL,"['Catalan', 'Spanish']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,1,February,1847,FALSE,1,June,1918,
Barry Pennington,['mathematician'],NULL,NULL,3/5/1968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,9,July,1923,FALSE,5,March,1968,
W. Allen Wallis,"['economist', 'statistician', 'university teacher']",['United States of America'],Philadelphia,12-Oct-98,['University of Minnesota'],['University of Chicago'],['Rochester'],['American Academy of Arts and Sciences'],['University of Chicago'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Wilks Memorial Award'],NULL,['human'],['male'],FALSE,5,November,1912,FALSE,12,October,1998,
Isaac Barrow,"['theologian', 'mathematician', 'historian of mathematics', 'physicist', 'university teacher']",['Kingdom of England'],London,4 May 1677,"['University of Cambridge', 'Trinity College', 'Felsted School', 'Charterhouse School']",['Gresham College'],['London'],['Royal Society'],['Gresham College'],['Vincenzo Viviani'],['English'],NULL,NULL,NULL,NULL,"['physics', 'mathematics', 'theology']",NULL,NULL,['human'],['male'],FALSE,NULL,October,1630,FALSE,4,May,1677,
Giulio Carlo de' Toschi di Fagnano,['mathematician'],NULL,Senigallia,26 September 1766,NULL,NULL,['Senigallia'],"['Royal Society', 'Prussian Academy of Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,6,December,1682,FALSE,26,September,1766,
Hans Hermes,"['mathematician', 'university teacher', 'computer scientist']",['Germany'],Neunkirchen,10-Nov-03,['University of Göttingen'],"['University of Freiburg', 'University of Münster']",NULL,"['Heidelberg Academy for Sciences and Humanities', '1967', 'ordinary member']","['University of Freiburg', 'University of Münster']",['Adolf Kratzer'],['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,February,1912,FALSE,10,November,2003,
Marcus Jordanus,"['mathematician', 'university teacher']",['Germany'],Krempe,1595,NULL,NULL,['Krempe'],NULL,NULL,NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1531,FALSE,NULL,NULL,1595,
Sibe Mardešić,['mathematician'],['Croatia'],Bergedorf,18-Jun-16,['University of Zagreb'],NULL,NULL,"['Slovenian Academy of Sciences and Arts', 'Croatian Academy of Sciences and Arts', 'American Mathematical Society']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,20,June,1927,FALSE,18,June,2016,
John Hinch (mathematician),"['mathematician', 'university teacher']",['United Kingdom'],NULL,NULL,['Trinity College'],NULL,NULL,"['Royal Society', '1997', 'Academia Europaea']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Fellow of the Royal Society', 'Fluid Dynamics Prize', '2010']",NULL,['human'],['male'],FALSE,4,March,1947,FALSE,NULL,NULL,NULL,
Charles Graves (bishop),"['priest', 'philosopher']",NULL,NULL,17 July 1899,NULL,NULL,NULL,"['Royal Society', 'Royal Irish Academy']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,6,December,1812,FALSE,17,July,1899,
Isaak Moiseevich Milin,['mathematician'],['Soviet Union'],NULL,17-Nov-92,NULL,NULL,['Saint Petersburg'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Function theory', 'applied mathematics', 'complex analysis']",NULL,NULL,['human'],['male'],FALSE,16,February,1919,FALSE,17,November,1992,
Bassano Politi,['mathematician'],NULL,NULL,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,TRUE,NULL,NULL,1500,
Lars Svenonius,['philosopher'],NULL,NULL,9/27/2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1927,FALSE,27,September,2010,
Georg Simon Klügel,"['mathematician', 'physicist', 'university teacher']",['Confederation of the Rhine'],Hamburg,4 August 1812,NULL,NULL,['Halle'],"['Russian Academy of Sciences', 'Prussian Academy of Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,19,August,1739,FALSE,4,August,1812,
D'Arcy Wentworth Thompson,"['mathematician', 'biologist', 'zoologist', 'university teacher', 'classical scholar']",['United Kingdom'],Edinburgh,21-Jun-48,"['University of Edinburgh', 'Trinity College']",NULL,['St Andrews'],"['Royal Society', 'Royal Society of Edinburgh', 'American Academy of Arts and Sciences']",NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,"['Fellow of the Royal Society', 'Companion of the Order of the Bath', 'Daniel Giraud Elliot Medal', '1942', 'Darwin Medal', '1946', 'Linnean Medal', '1938']",NULL,['human'],['male'],FALSE,2,May,1860,FALSE,21,June,1948,
Tadeusz Ważewski,['mathematician'],['Poland'],Chortkiv,9/5/1972,['University of Paris'],NULL,['Rabka-Zdrój'],NULL,NULL,['Stanisław Zaremba'],NULL,NULL,['Czesław Olech'],NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,24,September,1896,FALSE,5,September,1972,
Lester R. Ford,['mathematician'],['United States of America'],Missouri,11-Nov-67,"['Missouri State University', 'Harvard University']",NULL,['Charlottesville'],NULL,NULL,['Maxime Bôcher'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,October,1886,FALSE,11,November,1967,
Joseph Furttenbach,"['mathematician', 'architect', 'writer', 'engineer', 'diarist']",['Germany'],Leutkirch im Allgäu,17 January 1667,NULL,NULL,['Ulm'],NULL,NULL,NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,30,December,1591,FALSE,17,January,1667,
Colin Clark (economist),"['economist', 'statistician']","['United Kingdom', 'Australia']",London,4-Sep-89,"['Brasenose College', 'Dragon School', 'Winchester College']",['University of Queensland'],['Brisbane'],NULL,['University of Queensland'],NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,2,November,1905,FALSE,4,September,1989,
Jonathan Pila,['mathematician'],['Australia'],Melbourne,NULL,"['Stanford University', 'University of Melbourne']",NULL,NULL,"['Royal Society', 'Academia Europaea']",NULL,['Peter Sarnak'],['English'],NULL,NULL,NULL,NULL,['number theory'],"['Carol Karp Prize', '2013']",NULL,['human'],['male'],FALSE,28,July,1962,FALSE,NULL,NULL,NULL,
Navin M. Singhi,['mathematician'],['India'],NULL,NULL,['University of Mumbai'],NULL,NULL,NULL,NULL,['Sharadchandra Shankar Shrikhande'],NULL,NULL,NULL,NULL,NULL,['combinatorics'],"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1993']",['1±0'],['human'],['male'],FALSE,NULL,NULL,1949,FALSE,NULL,NULL,NULL,
Peter Turner (mathematician),['mathematician'],['England'],London,January 1652,NULL,NULL,['London'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1586,FALSE,NULL,January,1652,
Mary Wheeler,['mathematician'],['United States of America'],Cuero,NULL,NULL,"['University of Texas at Austin', 'Rice University']",NULL,['American Academy of Arts and Sciences'],"['University of Texas at Austin', 'Rice University']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Theodore von Kármán Prize', '2009']",NULL,['human'],['female'],FALSE,28,December,1938,FALSE,NULL,NULL,NULL,
Nicholas Bingham,['mathematician'],['United Kingdom'],York,NULL,"['Churchill College', 'Trinity College']",NULL,NULL,NULL,NULL,['David George Kendall'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,19,March,1945,FALSE,NULL,NULL,NULL,
Jacob Tamarkin,"['mathematician', 'university teacher']","['Ukraine', 'Soviet Union', 'United States of America']",Chernihiv,18-Nov-45,['Saint Petersburg State University'],"['Brown University', '1927', 'Petersburg State Transport University', 'Saint Petersburg State Electrotechnical University', 'Saint Petersburg State Polytechnical University', '1920', '1925', 'Perm State University', '1919', '1920', 'Dartmouth College']",['Bethesda'],"['American Mathematical Society', 'American Academy of Arts and Sciences']","['Brown University', '1927', 'Petersburg State Transport University', 'Saint Petersburg State Electrotechnical University', 'Saint Petersburg State Polytechnical University', '1920', '1925', 'Perm State University', '1919', '1920', 'Dartmouth College']",['Andrey Markov'],"['English', 'Russian']",['1917'],NULL,NULL,"['vice president', '1942', '1943', 'American Mathematical Society']","['mathematical analysis', 'differential equation']",NULL,NULL,['human'],['male'],FALSE,11,July,1888,Fal,NULL,NULL,NULL,
Brian Skyrms,"['mathematician', 'economist', 'philosopher']",['United States of America'],Pittsburgh,NULL,NULL,"['Stanford University Department of Philosophy', 'University of California, Irvine']",NULL,['National Academy of Sciences'],"['Stanford University Department of Philosophy', 'University of California, Irvine']",NULL,['English'],NULL,NULL,NULL,NULL,['probability theory'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'Lakatos Award', '1999']",NULL,['human'],['male'],FALSE,NULL,NULL,1938,FALSE,NULL,NULL,NULL,
David Bates (physicist),['physicist'],['United Kingdom'],Omagh,5-Jan-94,"[""Queen's University Belfast""]",['University College London'],['Belfast'],"['Royal Society', 'American Academy of Arts and Sciences']",['University College London'],['Harrie Massey'],['English'],NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,18,November,1916,FALSE,5,January,1994,
Giuseppe Maria Ficatelli,"['mathematician', 'painter']",NULL,Cento,3 September 1703,NULL,NULL,['Florence'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1639,FALSE,3,September,1703,
Marguerite Lehr,['mathematician'],['United States of America'],Baltimore,14-Dec-87,"['Bryn Mawr College', 'Goucher College']","['Bryn Mawr College', 'Johns Hopkins University', 'Swarthmore College', 'Institut Henri Poincaré', 'Princeton University']",NULL,NULL,"['Bryn Mawr College', 'Johns Hopkins University', 'Swarthmore College', 'Institut Henri Poincaré', 'Princeton University']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,22,October,1898,FALSE,14,December,1987,
Jonathan Mock Beck,['mathematician'],['United States of America'],NULL,3/11/2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,11,November,1935,FALSE,11,March,2006,
Sun Yuanhua,['mathematician'],NULL,NULL,7 September 1632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],NULL,FALSE,NULL,NULL,1582,FALSE,7,September,1632,
Philippe G. Ciarlet,"['mathematician', 'university teacher']",['France'],Paris,NULL,"['École Polytechnique', 'Case Western Reserve University', 'École des Ponts ParisTech']",NULL,NULL,"['French Academy of Sciences', 'American Mathematical Society', 'Academia Europaea', 'Chinese Academy of Sciences', 'French Academy of Technologies']",NULL,NULL,['French'],['doctoral degree'],NULL,NULL,NULL,NULL,"['Legion of Honour', 'Poncelet Prize', '1981', 'Gay-Lussac-Humboldt-Prize', '1996']",['3±0'],['human'],['male'],FALSE,14,October,1938,FALSE,NULL,NULL,NULL,
Gustav Herglotz,"['mathematician', 'seismologist', 'university teacher']",['Germany'],Volary,22-Mar-53,['Ludwig Maximilian University of Munich'],"['University of Vienna', 'Leipzig University', 'University of Göttingen']",['Göttingen'],"['Saxon Academy of Sciences', '12 December 1914Gregorian', '30 September 1925Gregorian', 'ordinary member', 'Saxon Academy of Sciences', '30 September 1925Gregorian', 'foreign member']","['University of Vienna', 'Leipzig University', 'University of Göttingen']",['Hugo von Seeliger'],['German'],NULL,['Ludwig Schwarz'],NULL,NULL,NULL,"['Richard Lieben prize', '1915']",NULL,['human'],['male'],FALSE,2,February,1881,FALSE,22,March,1953,
Sigve Tjøtta,"['mathematician', 'professor']",['Norway'],NULL,NULL,['University of Oslo'],['University of Oslo'],NULL,['Norwegian Academy of Science and Letters'],['University of Oslo'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,1,March,1930,FALSE,NULL,NULL,NULL,
Roger Lyndon,['mathematician'],['United States of America'],Calais,8-Jun-88,['Harvard University'],"['Princeton University', 'University of Michigan']",['Ann Arbor'],NULL,"['Princeton University', 'University of Michigan']",['Saunders Mac Lane'],['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,18,December,1917,FALSE,8,June,1988,
Ludwig Boltzmann,"['physicist', 'chemist', 'university teacher', 'mathematician', 'philosopher', 'theoretical physicist']",['Austria-Hungary'],Vienna,5-Sep-06,['University of Vienna'],"['University of Vienna', 'Leipzig University', 'University of Graz', 'Ludwig Maximilian University of Munich', '1890', '1894']",['Duino-Aurisina'],"['Royal Society', 'Saxon Academy of Sciences', '15 December 1900Gregorian', '30 September 1902Gregorian', 'ordinary member', 'Royal Swedish Academy of Sciences', 'Bavarian Academy of Sciences and Humanities', 'Russian Academy of Sciences', 'French Academy of Sciences', 'Hungarian Academy of Sciences', 'American Academy of Arts and Sciences', 'Lincean Academy', 'Austrian Academy of Sciences', 'Russian Academy of Sciences', 'Prussian Academy of Sciences', 'Royal Netherlands Academy of Arts and Sciences', '11 May 1897Gregorian', 'foreign member', 'Saxon Academy of Sciences', '30 September 1902Gregorian', 'foreign member']","['University of Vienna', 'Leip",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Brian Kuttner,['mathematician'],NULL,NULL,1/2/1992,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,11,April,1908,FALSE,2,January,1992,
Zdzisław Krygowski,['mathematician'],['Poland'],NULL,1955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1872,FALSE,NULL,NULL,1955,
Francis Guthrie,"['botanist', 'mathematician']",['South Africa'],London,19 October 1899,['University College London'],['University of Cape Town'],NULL,NULL,['University of Cape Town'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,22,January,1831,FALSE,19,October,1899,
Curt Meyer,"['mathematician', 'university teacher']",['Germany'],Lehe,18-Apr-11,NULL,['University of Cologne'],['Q1261488'],NULL,['University of Cologne'],['Helmut Hasse'],['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,19,November,1919,FALSE,18,April,2011,
Thomas Muirhead Flett,['mathematician'],['United Kingdom'],London,2/13/1976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,July,1923,FALSE,13,February,1976,
Gerhard Hochschild,['mathematician'],['United States of America'],Berlin,8-Jul-10,['Princeton University'],"['University of California, Berkeley', 'University of Illinois at Urbana–Champaign']",['El Cerrito'],"['National Academy of Sciences', 'American Academy of Arts and Sciences']","['University of California, Berkeley', 'University of Illinois at Urbana–Champaign']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],['3±0'],['human'],['male'],FALSE,29,April,1915,FALSE,8,July,2010,
Len Cook,"['mathematician', 'statistician']",['New Zealand'],NULL,NULL,['University of Otago'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Commander of the Order of the British Empire'],NULL,['human'],['male'],FALSE,13,April,1949,FALSE,NULL,NULL,NULL,
Bojidar Spiriev,"['statistician', 'athletics competitor']",NULL,NULL,10-Jan-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1932,FALSE,10,January,2010,
Kenneth I. Gross,['mathematician'],['United States of America'],Malden,NULL,"['Brandeis University', 'Washington University in St. Louis', 'Ray Kunze']",NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Chauvenet Prize', '1981']",NULL,['human'],['male'],FALSE,14,October,1938,FALSE,NULL,NULL,NULL,
Jean-Pierre Bourguignon,"['mathematician', 'Director of Research at CNRS']",['France'],Lyon,NULL,['École Polytechnique'],['University of Paris'],NULL,['Academia Europaea'],['University of Paris'],['Marcel Berger'],['French'],NULL,NULL,NULL,NULL,NULL,"['Q28493926', '1987']",NULL,['human'],['male'],FALSE,21,July,1947,FALSE,NULL,NULL,NULL,
Edward Neuman,[''],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Ludwig Schlesinger,"['mathematician', 'historian', 'university teacher']",['Germany'],Trnava,15-Dec-33,['Heidelberg University'],['Humboldt University of Berlin'],['Gießen'],"['German Academy of Sciences Leopoldina', 'Hungarian Academy of Sciences']",['Humboldt University of Berlin'],['Lazarus Fuchs'],['German'],NULL,NULL,NULL,NULL,NULL,"['Lobachevsky Prize', '1909']",NULL,['human'],['male'],FALSE,1,November,1864,FALSE,15,December,1933,
Richard A. Brualdi,"['mathematician', 'university teacher']",['United States of America'],Derby,NULL,['Syracuse University'],"['University of Sheffield', 'NATO fellow', '1969', '1970', 'University of Wisconsin–Madison']",NULL,['American Mathematical Society'],"['University of Sheffield', 'NATO fellow', '1969', '1970', 'University of Wisconsin–Madison']",NULL,['English'],NULL,NULL,NULL,NULL,['combinatorics'],"['Euler Medal', '2000']",['2±0'],['human'],['male'],FALSE,2,September,1939,FALSE,NULL,NULL,NULL,
Cristian S. Calude,"['mathematician', 'computer scientist']","['Romania', 'New Zealand']",Galați,NULL,['University of Bucharest'],NULL,NULL,['Academia Europaea'],NULL,['Solomon Marcus'],['Romanian'],NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,21,April,1952,FALSE,NULL,NULL,NULL,
Harry Swinney,['physicist'],['United States of America'],Opelousas,NULL,['Johns Hopkins University'],['University of Texas at Austin'],NULL,"['National Academy of Sciences', 'American Academy of Arts and Sciences']",['University of Texas at Austin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Fluid Dynamics Prize', '1995', 'Boltzmann Medal', '2013']",NULL,['human'],['male'],FALSE,10,April,1939,FALSE,NULL,NULL,NULL,
Arne Broman,['mathematician'],['Sweden'],Sweden,1995,['Uppsala University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1913,FALSE,NULL,NULL,1995,
Michelle Francl,"['chemist', 'university teacher']",['United States of America'],NULL,NULL,"['University of California, Irvine']",['Bryn Mawr College'],NULL,NULL,['Bryn Mawr College'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Jörg Bewersdorff,"['mathematician', 'writer', 'game designer']",['Germany'],Neuwied,NULL,"['Q1716690', 'University of Bonn', '1975', '1985']",NULL,NULL,NULL,NULL,NULL,['German'],['doctoral degree'],NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,1,February,1958,FALSE,NULL,NULL,NULL,
Sandy Green (mathematician),"['mathematician', 'university teacher']",['United Kingdom'],Rochester,7-Apr-14,"['University of St Andrews', ""St John's College""]","['University of Warwick', 'University of Manchester', 'University of Sussex']",['Oxford'],['Royal Society'],"['University of Warwick', 'University of Manchester', 'University of Sussex']",['Philip Hall'],NULL,NULL,NULL,NULL,NULL,['group theory'],"['Fellow of the Royal Society', 'De Morgan Medal', '2001']",NULL,['human'],['male'],FALSE,26,February,1926,FALSE,7,April,2014,
Daya-Nand Verma,['mathematician'],['India'],NULL,6/10/2012,['Yale University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,June,1933,FALSE,10,June,2012,
Georg Tannstetter,"['mathematician', 'astronomer', 'cartographer', 'university teacher', 'astrologer']",['Germany'],Rain,5 April 1535,NULL,['University of Vienna'],['Innsbruck'],NULL,['University of Vienna'],NULL,['Latin'],NULL,NULL,NULL,NULL,"['mathematics', 'astronomy']",NULL,NULL,['human'],['male'],FALSE,NULL,April,1482,FALSE,5,April,1535,
Malabika Pramanik,[''],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Honoré Fabri,"['mathematician', 'astronomer', 'physicist']",['France'],Virieu-le-Grand,8 March 1688,NULL,NULL,['Rome'],NULL,NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,15,April,1607,FALSE,8,March,1688,
William Moore (British mathematician),['mathematician'],['United Kingdom of Great Britain and Ireland'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Sergei Konyagin,"['mathematician', 'university teacher']","['Soviet Union', 'Russia']",Saratov,NULL,"['MSU Faculty of Mechanics and Mathematics', '1979']",NULL,NULL,"['American Mathematical Society', 'Russian Academy of Sciences']",NULL,['Sergey Stechkin'],['Russian'],"['Doctor of Sciences in Physics and Mathematics', '1989', 'Candidate of Sciences in Physics and Mathematics', '1982']",NULL,NULL,NULL,['Q3968'],"['Salem Prize', '1990']",['2±0'],['human'],['male'],FALSE,25,April,1957,FALSE,NULL,NULL,NULL,
